Column1;Column2;Column3;Column4;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
13:42:44;109;56323;440,02;0,634;0,584;0,833;8,79;9,17;0,253;35,7;9;8,1
13:42:45;110;50737;396,38;0,704;0,654;0,902;20,5;15,51;0,347;35,7;7,9;7
13:42:46;111;58207;454,74;0,614;0,564;0,811;16,77;18,17;0,248;35,7;8;6,9
13:42:47;112;55748;435,53;0,64;0,591;0,837;4,48;2,16;0,171;35,7;8,4;7,3
13:42:48;113;55289;431,95;0,646;0,596;0,843;5,37;7;0,179;35,7;7,9;7,2
13:42:49;114;53630;418,98;0,666;0,616;0,864;3,69;2,22;0,184;35,7;8,4;7,5
13:42:50;115;58662;458,3;0,609;0,56;0,805;3,9;2,43;0,17;35,7;8,7;7,8
13:42:51;116;56244;439,41;0,635;0,583;0,839;23,7;21,45;0,475;35,7;9,1;8,3
13:42:52;117;56336;440,13;0,634;0,583;0,834;6,26;12,93;0,204;35,7;8,8;8
13:42:53;118;56818;443,89;0,629;0,578;0,826;1,77;2,21;0,176;35,7;8,3;7,5
13:42:54;119;58651;458,21;0,609;0,56;0,804;8,74;8,98;0,212;35,7;9,1;8,1
13:42:55;120;56258;439,52;0,633;0,584;0,829;2,62;3,21;0,173;35,7;9,3;8,4
13:42:56;121;54204;423,47;0,66;0,607;0,872;15,96;17,13;0,449;35,7;8,7;7,8
13:42:57;122;56474;441,2;0,632;0,583;0,831;1,78;2,91;0,174;35,7;8,5;7,7
13:42:58;123;59158;462,17;0,604;0,555;0,798;3,57;2,53;0,169;35,7;9,1;8,2
13:42:59;124;55442;433,14;0,644;0,595;0,841;3,21;2,19;0,172;35,7;8,9;7,9
13:43:00;125;53648;419,13;0,665;0,616;0,864;1,91;2,02;0,174;35,7;9,7;8,5
13:43:01;126;48253;376,98;0,741;0,689;0,951;18,85;17,44;0,376;35,7;7,7;6,6
13:43:02;127;58734;458,86;0,609;0,562;0,803;2,89;2,04;0,165;35,8;9,8;8,5
13:43:03;128;60756;474,66;0,587;0,539;0,785;5,36;2,39;0,172;35,7;9,5;8,7
13:43:04;129;48760;380,94;0,733;0,682;0,939;12,84;16,43;0,282;35,7;7,3;6,3
13:43:05;130;58371;456,02;0,612;0,563;0,809;7,32;5,36;0,179;35,7;9,5;8,3
13:43:06;131;61256;478,56;0,583;0,532;0,787;17,38;19,91;0,281;35,7;9;8,1
13:43:07;132;59854;467,61;0,596;0,547;0,791;13,95;10,89;0,209;35,7;9,3;8,2
13:43:08;133;55443;433,15;0,644;0,595;0,842;4,51;3,41;0,184;35,7;7,9;7,1
13:43:09;134;60473;472,45;0,59;0,539;0,789;8,15;8,79;0,221;35,7;9,7;8,5
13:43:10;135;61516;480,59;0,58;0,531;0,775;5,75;3,41;0,169;35,7;10,2;8
13:43:11;136;59508;464,91;0,6;0,546;0,809;21,68;21,17;0,468;35,7;9,2;8,4
13:43:12;137;59049;461,32;0,604;0,555;0,799;2,77;1,88;0,169;35,7;9,3;8,4
13:43:13;138;54018;422,02;0,661;0,611;0,856;1,65;2,03;0,17;35,7;9,1;8,1
13:43:14;139;50248;392,56;0,712;0,662;0,91;9,27;9,52;0,24;35,8;7,3;6,5
13:43:15;140;54834;428,39;0,653;0,602;0,85;7,09;5,84;0,192;35,8;6,8;5,9
13:43:16;141;47809;373,51;0,749;0,698;0,95;14,07;16,62;0,299;35,8;6,4;5,5
13:43:17;142;56055;437,93;0,636;0,585;0,834;5,59;4,53;0,181;35,7;8,7;7,8
13:43:18;143;62449;487,88;0,571;0,522;0,768;1,65;2;0,168;35,7;9,6;8,7
13:43:19;144;55855;436,37;0,639;0,589;0,834;1,93;2,12;0,172;35,7;9,1;8,3
13:43:20;145;58217;454,82;0,613;0,563;0,814;1,84;3,29;0,174;35,7;9,6;8,7
13:43:21;146;61409;479,76;0,582;0,531;0,781;12,4;9,42;0,22;35,7;9;8,2
13:43:22;147;61958;484,05;0,576;0,524;0,78;15,9;15,35;0,318;35,7;9,6;8,7
13:43:23;148;57482;449,08;0,621;0,57;0,824;15,61;12,07;0,297;35,7;9,6;8,6
13:43:24;149;60262;470,8;0,593;0,543;0,788;8,85;5,8;0,201;35,7;8,9;8
13:43:25;150;55897;436,7;0,638;0,589;0,834;1,72;2,01;0,17;35,7;9,7;8
13:43:26;151;61639;481,55;0,58;0,53;0,778;17,54;18,91;0,306;35,7;8,9;7,9
13:43:27;152;56261;439,54;0,634;0,585;0,832;2,7;3,23;0,174;35,7;8,8;7,9
13:43:28;153;57223;447,05;0,624;0,574;0,828;14,9;15,03;0,26;35,7;8,5;7,7
13:43:29;154;52598;410,92;0,68;0,629;0,884;20,75;19,67;0,354;35,8;7,4;6,4
13:43:30;155;57126;446,3;0,624;0,575;0,819;8,09;2,18;0,178;35,7;8,9;7,9
13:43:31;156;58352;455,88;0,612;0,561;0,816;19,36;18,19;0,374;35,7;8,8;7,9
13:43:32;157;55137;430,76;0,648;0,598;0,847;1,79;2,23;0,194;35,8;7,8;7,1
13:43:33;158;58056;453,56;0,615;0,565;0,81;1,9;2,29;0,183;35,7;8,7;8
13:43:34;159;58392;456,19;0,611;0,56;0,814;17,35;16,58;0,273;35,7;9;8
13:43:35;160;57612;450,09;0,62;0,569;0,819;4,02;2,76;0,171;35,7;8,8;7,8
13:43:36;161;55856;436,38;0,639;0,587;0,845;26,72;25,32;0,36;35,7;9,4;8,5
13:43:37;162;58352;455,88;0,612;0,562;0,812;12,49;14,06;0,223;35,7;9,2;8,3
13:43:38;163;61845;483,16;0,577;0,528;0,772;3,13;2,06;0,167;35,7;8,7;8
13:43:39;164;59768;466,94;0,597;0,547;0,8;28,08;23,78;0,4;35,7;8,9;8,1
13:43:40;165;58381;456,1;0,612;0,563;0,812;8,7;5,38;0,179;35,7;9,3;8,4
13:43:41;166;60062;469,23;0,594;0,545;0,796;9,63;10,37;0,209;35,7;9;8,3
13:43:42;167;63840;498,75;0,559;0,511;0,755;12,02;12,87;0,199;35,7;9,7;8,8
13:43:43;168;58930;460,39;0,606;0,558;0,806;5,42;6,46;0,175;35,7;9,6;8,4
13:43:44;169;57657;450,45;0,619;0,568;0,826;15,91;19,33;0,358;35,7;9,2;8,3
13:43:45;170;58520;457,19;0,61;0,561;0,807;9,96;10,91;0,194;35,7;9,5;8,6
13:43:46;171;60934;476,05;0,586;0,537;0,788;15,08;17,1;0,283;35,7;8,8;8,1
13:43:47;172;59811;467,27;0,597;0,548;0,796;8,4;9,7;0,191;35,7;8,9;8,2
13:43:48;173;55350;432,42;0,645;0,596;0,845;7,09;5,04;0,185;35,7;9,6;8,7
13:43:49;174;58083;453,77;0,615;0,565;0,815;17,5;15,92;0,313;35,7;8,5;7,7
13:43:50;175;57722;450,95;0,618;0,569;0,818;13,49;14,89;0,218;35,7;8,1;7,4
13:43:51;176;56767;443,49;0,63;0,577;0,839;14,79;17,76;0,292;35,7;9,3;8,6
